18,43.68,   Michael Johnson            ,    USA   ,  13.09.67 ,1,  Sacramento              ,    16.07.2000
20,43.7,   Fred Kerley                ,    USA   ,  07.05.95 ,   1q1  ,  Austin                  ,    26.05.2017
21,43.71,   Quincy Watts               ,    USA   ,  19.06.70 ,   1s2  ,  Barcelona               ,    03.08.1992
22,43.72,   Isaac Makwala              ,    BOT   ,  29.09.86 ,   1rA  ,  La Chaux-de-Fonds       ,    05.07.2015
23,43.73,   Wayde van Niekerk          ,    RSA   ,  15.07.92 ,1,  Monaco                  ,    21.07.2017
24,43.74,   Michael Johnson            ,    USA   ,  13.09.67 ,1,  Eugene                  ,    19.06.1993
24,43.74,   LaShawn Merritt            ,    USA   ,  27.06.86 ,1,  Moskva                  ,    13.08.2013
24,43.74,   Kirani James               ,    GRN   ,  01.09.92 ,   1rA  ,  Lausanne                ,    03.07.2014
27,43.75,   Michael Johnson            ,    USA   ,  13.09.67 ,1,  Waco                    ,    19.04.1997
27,43.75,   LaShawn Merritt            ,    USA   ,  27.06.86 ,1,  Beijing                 ,    21.08.2008
29,43.76,   Michael Johnson            ,    USA   ,  13.09.67 ,1,  Uniondale               ,    21.07.1998
29,43.76,   Kirani James               ,    GRN   ,  01.09.92 ,2,  Rio de Janeiro          ,    14.08.2016
31,43.78,   Kirani James               ,    GRN   ,  01.09.92 ,3,  Beijing                 ,    26.08.2015
32,43.81,   Danny Everett              ,    USA   ,  01.11.66 ,1,  New Orleans             ,    26.06.1992
33,43.82,   Jeremy Wariner             ,    USA   ,  31.01.84 ,1,  Zürich                  ,    29.08.2008
34,43.83,   Quincy Watts               ,    USA   ,  19.06.70 ,1,  Zürich                  ,    19.08.1992
35,43.84,   Michael Johnson            ,    USA   ,  13.09.67 ,1,  Sydney                  ,    25.09.2000
35,43.84,   Isaac Makwala              ,    BOT   ,  29.09.86 ,2,  Monaco                  ,    21.07.2017
37,43.85,   LaShawn Merritt            ,    USA   ,  27.06.86 ,3,  Rio de Janeiro          ,    14.08.2016
38,43.86,   Lee Evans                  ,    USA   ,  25.02.47 ,1,  Ciudad de México        ,    18.10.1968
38,43.86,   Michael Johnson            ,    USA   ,  13.09.67 ,1,  Oslo                    ,    21.07.1995
38,43.86,   Jeremy Wariner             ,    USA   ,  31.01.84 ,1,  Saint-Denis             ,    18.07.2008
41,43.87,   Steve Lewis                ,    USA   ,  16.05.69 ,1,  Seoul                   ,    28.09.1988
41,43.87,   Steven Gardiner            ,    BAH   ,  12.09.95 ,1,  Ad-Dawhah               ,    04.05.2018
43,43.88,   Michael Johnson            ,    USA   ,  13.09.67 ,1,  Zürich                  ,    16.08.1995
44,43.89,   Steven Gardiner            ,    BAH   ,  12.09.95 ,   1s1  ,  London                  ,    06.08.2017
45,43.9,   Michael Johnson            ,    USA   ,  13.09.67 ,1,  Madrid                  ,    06.09.1994
46,43.91,   Harry Reynolds             ,    USA   ,  08.06.64 ,2,  Atlanta                 ,    19.06.1996
46,43.91,   Jeremy Wariner             ,    USA   ,  31.01.84 ,1,  Saint-Denis             ,    08.07.2006
48,43.92,   Michael Johnson            ,    USA   ,  13.09.67 ,   1r2  ,  Lausanne                ,    02.07.1999
48,43.92,   Michael Johnson            ,    USA   ,  13.09.67 ,1,  Eugene                  ,    24.06.2000
