59,01:42.76, Wilson Kipketer             ,   DEN   ,  12.12.70 ,1, Oslo                     ,   05.07.1996
59,01:42.76, Japheth Kimutai             ,   KEN   ,  20.12.78 ,1, Stuttgart                ,   19.07.1998
61,01:42.77, Wilson Kipketer             ,   DEN   ,  12.12.70 ,1, Bruxelles                ,   23.08.1996
61,01:42.77, Wilson Kipketer             ,   DEN   ,  12.12.70 ,1, Monaco                   ,   16.08.1997
63,01:42.79, Frederick Onyancha          ,   KEN   ,  25.12.69 ,3, Atlanta                  ,   31.07.1996
63,01:42.79, Wilson Kipketer             ,   DEN   ,  12.12.70 ,   1rA   , Roma                     ,   07.07.1999
63,01:42.79, Yuriy Borzakovskiy          ,   RUS   ,  12.04.81 ,1, Monaco                   ,   19.07.2008
63,01:42.79, Youssef Saad Kamel          ,   BRN   ,  29.03.83 ,2, Monaco                   ,   19.07.2008
67,01:42.80, Johnny Gray                 ,   USA   ,  19.06.60 ,1, New Orleans              ,   24.06.1992
68,01:42.81, Jean-Patrick Nduwimana      ,   BDI   ,  09.05.78 ,   2rA   , Zürich                   ,   17.08.2001
68,01:42.81, David Rudisha               ,   KEN   ,  17.12.88 ,2, Zürich                   ,   30.08.2012
70,01:42.82, Duane Solomon               ,   USA   ,  28.12.84 ,4, London                   ,   09.08.2012
71,01:42.83, Mohammed Aman               ,   ETH   ,  10.01.94 ,3, Monaco                   ,   18.07.2014
72,01:42.84, David Rudisha               ,   KEN   ,  17.12.88 ,1, Nairobi                  ,   30.07.2010
72,01:42.84, Ferguson Cheruiyot          ,   KEN   ,  30.11.89 ,4, Monaco                   ,   18.07.2014
74,01:42.85, Norberto Téllez             ,   CUB   ,  22.01.72 ,4, Atlanta                  ,   31.07.1996
75,01:42.86, Mbulaeni Mulaudzi           ,   RSA   ,  08.09.80 ,   3rA   , Rieti                    ,   06.09.2009
76,01:42.87, Wilson Kipketer             ,   DEN   ,  12.12.70 ,1, Monaco                   ,   25.07.1995
76,01:42.87, Wilson Kipketer             ,   DEN   ,  12.12.70 ,   1rA   , Zürich                   ,   16.08.1995
76,01:42.87, Japheth Kimutai             ,   KEN   ,  20.12.78 ,   1rA   , Zürich                   ,   12.08.1998
76,01:42.87, Alfred Kipketer             ,   KEN   ,  26.12.96 ,   1rA   , Saint-Denis              ,   27.08.2016
80,01:42.88, Steve Cram                  ,   GBR   ,  14.10.60 ,   1rA   , Zürich                   ,   21.08.1985
81,01:42.89, Mbulaeni Mulaudzi           ,   RSA   ,  08.09.80 ,2, Bruxelles                ,   05.09.2003
82,01:42.90, Patrick Ndururi             ,   KEN   ,  12.01.69 ,1, Roma                     ,   14.07.1998
82,01:42.90, André Bucher                ,   SUI   ,  19.10.76 ,1, Monaco                   ,   20.07.2001
84,01:42.91, William Yiampoy             ,   KEN   ,  17.05.74 ,3, Rieti                    ,   08.09.2002
84,01:42.91, David Rudisha               ,   KEN   ,  17.12.88 ,1, London                   ,   05.08.2011
86,01:42.92, André Bucher                ,   SUI   ,  19.10.76 ,4, Bruxelles                ,   03.09.1999
87,01:42.93, Clayton Murphy              ,   USA   ,  26.02.95 ,3, Rio de Janeiro           ,   15.08.2016
88,01:42.95, Vebjørn Rodal               ,   NOR   ,  16.09.72 ,2, Oslo                     ,   05.07.1996
88,01:42.95, Boaz Lalang                 ,   KEN   ,  08.02.89 ,   2rA   , Rieti                    ,   29.08.2010
88,01:42.95, Nick Symmonds               ,   USA   ,  30.12.83 ,5, London                   ,   09.08.2012
91,01:42.96, Johnny Gray                 ,   USA   ,  19.06.60 ,1, Koblenz                  ,   29.08.1984
91,01:42.96, Wilfred Bungei              ,   KEN   ,  24.07.80 ,   3rA   , Zürich                   ,   17.08.2001
93,01:42.97, Peter Elliott               ,   GBR   ,  09.10.62 ,1, Sevilla                  ,   30.05.1990
93,01:42.97, Ayanleh Souleiman           ,   DJI   ,  03.12.92 ,3, Monaco                   ,   17.07.2015
95,01:42.98, Joaquim Cruz                ,   BRA   ,  12.03.63 ,   1r1   , Berlin                   ,   23.08.1985
95,01:42.98, Patrick Konchellah          ,   KEN   ,  20.04.68 ,2, Köln                     ,   24.08.1997
95,01:42.98, Wilson Kipketer             ,   DEN   ,  12.12.70 ,1, Fukuoka                  ,   13.09.1997
